ville x y
ville0 -54.7 94.74
ville1 34.25 -83.92
ville2 -38.87 -26.14
ville3 -58.62 -30.05
ville4 90.35 13.1
ville5 64.41 82.9
ville6 22.99 -84.58
ville7 77.62 85.25
ville8 -63.49 83.53
ville9 25.45 -49.23
ville10 -72.23 -41.04
ville11 83.95 36.48
ville12 80.17 67.72
ville13 -85.3 -22.1
ville14 73.56 17.88
ville15 4.04 95.07
ville16 -0.58 88.21
ville17 29.06 -13.89
ville18 98.77 98.84
ville19 87.55 -8.45
ville20 -69.35 -60.54
ville21 -57.05 -28.41
ville22 90.39 -6.3
ville23 -97.97 -67.81
ville24 -32.09 84.06
ville25 -13.94 -7.99
ville26 -97.73 39.51
ville27 58.03 -10.1
ville28 12.32 52.89
ville29 -5.58 5.77
ville30 -35.99 95.69
ville31 40.97 -12.59
ville32 80.58 -45.21
ville33 -83.13 60.62
ville34 99.38 93.87
ville35 50.45 32.89
ville36 46.76 -41.04
ville37 -22.71 3.46
ville38 -77.14 76.78
ville39 -10.45 -28.13
ville40 -27.43 24.95
ville41 69.46 -63.6
ville42 79.68 89.33
ville43 -10.0 -80.46
ville44 -23.87 90.0
ville45 91.88 44.59
ville46 0.21 83.66
ville47 -79.24 47.35
ville48 51.63 94.68
ville49 96.35 55.36
