ville x y
ville0 -15.21 8.4
ville1 -58.88 86.68
ville2 55.8 21.35
ville3 70.82 24.12
ville4 -29.35 76.57
ville5 99.33 -3.47
ville6 44.87 -84.58
ville7 -22.78 59.05
ville8 -73.19 -3.86
ville9 -64.46 87.47
ville10 97.3 35.08
ville11 -98.82 43.38
ville12 -69.83 -53.63
ville13 15.01 89.54
ville14 -64.55 -70.9
ville15 22.93 -91.08
ville16 9.56 -41.52
ville17 -42.0 -71.74
ville18 -18.67 -92.63
ville19 5.66 7.65
ville20 62.9 -20.97
ville21 92.38 94.95
ville22 45.48 44.47
ville23 44.07 77.0
ville24 8.26 -83.73
ville25 64.02 -39.68
ville26 -28.91 60.03
ville27 -98.31 6.1
ville28 -82.83 30.62
ville29 -67.44 18.6
ville30 -67.12 28.69
ville31 -77.53 72.06
ville32 -3.29 52.89
ville33 -17.92 74.04
ville34 -39.03 67.44
ville35 63.8 31.12
ville36 27.96 -82.81
ville37 87.78 93.03
ville38 67.34 -25.94
ville39 47.47 50.08
ville40 -6.72 -39.99
ville41 79.79 70.42
ville42 49.37 -69.62
ville43 1.0 -92.81
ville44 -4.76 93.13
ville45 -43.19 13.76
ville46 -47.09 -63.44
ville47 22.11 72.41
ville48 -87.46 9.3
ville49 41.56 -92.8
ville50 76.37 -40.37
ville51 93.28 98.21
ville52 98.56 -95.65
ville53 -44.54 -59.67
ville54 -25.88 -57.72
ville55 14.73 26.78
ville56 18.17 -77.56
ville57 -14.64 39.61
ville58 -56.63 -68.57
ville59 -87.19 -45.2
ville60 8.54 13.12
ville61 42.82 24.96
ville62 21.12 44.56
ville63 -28.39 -67.41
ville64 -29.36 -79.42
ville65 -74.28 27.87
ville66 14.08 -10.25
ville67 14.03 -96.22
ville68 -59.41 -11.76
ville69 9.13 -81.4
ville70 -1.49 36.09
ville71 -4.39 -26.61
ville72 48.17 15.89
ville73 -38.25 -50.69
ville74 -32.73 -44.77
ville75 -72.2 -90.46
ville76 -34.19 84.39
ville77 7.02 81.07
ville78 24.13 -38.86
ville79 -43.85 -64.88
ville80 -76.31 -32.79
ville81 99.47 -99.41
ville82 -73.45 -38.57
ville83 53.95 82.8
ville84 -78.68 76.84
ville85 -42.25 -21.28
ville86 -27.69 82.58
ville87 93.99 -21.4
ville88 7.11 -95.46
ville89 47.0 -98.79
ville90 -7.46 -31.69
ville91 56.37 -72.65
ville92 -9.58 49.4
ville93 96.53 -92.65
